OTUID,D0,D1,D3,D5,D6,D7
OTU_1195,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1196,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1198,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1199,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_120,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1201,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1202,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
OTU_1203,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1204,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1205,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1206,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
OTU_1207,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1209,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_121,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_1210,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1211,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
OTU_1212,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1214,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1215,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
OTU_1216,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
OTU_1217,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1218,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1219,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_122,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1220,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1221,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1222,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1223,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1224,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1225,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1226,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1227,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1228,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1229,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_123,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
