OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3180,Rare OTUs,D5,20,0,FALSE,0,0,8.75324599538996e-5,0.9285714285714286,-0.8815902014338541
OTU_3180,Rare OTUs,D6,40,0,FALSE,0,0,8.75324599538996e-5,0.9285714285714286,-0.8815902014338541
OTU_3180,Rare OTUs,D7,40,0,FALSE,0,0,8.75324599538996e-5,0.9285714285714286,-0.8815902014338541
OTU_3181,Rare OTUs,D0,14,1,TRUE,2.344002767024967e-4,1.896843216940735e-4,1.896843216940735e-4,1,0
OTU_3181,Rare OTUs,D1,14,0.5714285714285714,TRUE,1.8964066751684878e-5,2.935415479795175e-5,1.896843216940735e-4,1,-0.6780226380927372
OTU_3181,Rare OTUs,D3,20,0,FALSE,0,0,1.896843216940735e-4,1,-1.1855928227021106
OTU_3181,Rare OTUs,D5,20,0,FALSE,0,0,1.896843216940735e-4,1,-1.1855928227021106
OTU_3181,Rare OTUs,D6,40,0,FALSE,0,0,1.896843216940735e-4,1,-1.1855928227021106
OTU_3181,Rare OTUs,D7,40,0,FALSE,0,0,1.896843216940735e-4,1,-1.1855928227021106
OTU_3182,Rare OTUs,D0,14,0.14285714285714285,TRUE,4.370323769944172e-6,3.0592266389609205e-5,3.0592266389609205e-5,0.14285714285714285,0
OTU_3182,Rare OTUs,D1,14,0,FALSE,0,0,3.0592266389609205e-5,0.14285714285714285,-0.5200154844551506
OTU_3182,Rare OTUs,D3,20,0,FALSE,0,0,3.0592266389609205e-5,0.14285714285714285,-0.5200154844551506
OTU_3182,Rare OTUs,D5,20,0,FALSE,0,0,3.0592266389609205e-5,0.14285714285714285,-0.5200154844551506
OTU_3182,Rare OTUs,D6,40,0.025,TRUE,7.11520947176685e-7,2.84608378870674e-5,3.0592266389609205e-5,0.14285714285714285,-0.021651568472941918
OTU_3182,Rare OTUs,D7,40,0.025,TRUE,7.15471352527045e-7,2.86188541010818e-5,3.0592266389609205e-5,0.14285714285714285,-0.02000882641794366
OTU_3183,Rare OTUs,D0,14,0.5714285714285714,TRUE,3.0190603066683086e-5,4.518424768517785e-5,4.518424768517785e-5,0.5714285714285714,0
OTU_3183,Rare OTUs,D1,14,0.7857142857142857,TRUE,4.220940024399933e-5,2.95229097779877e-5,4.518424768517785e-5,0.5714285714285714,-0.13553890446340766
OTU_3183,Rare OTUs,D3,20,0.1,TRUE,4.478648525347675e-6,4.478648525347675e-5,4.518424768517785e-5,0.5714285714285714,-0.002967107043904349
OTU_3183,Rare OTUs,D5,20,0.05,TRUE,1.5847860538827252e-6,3.16957210776545e-5,4.518424768517785e-5,0.5714285714285714,-0.11401208875090951
OTU_3183,Rare OTUs,D6,40,0,FALSE,0,0,4.518424768517785e-5,0.5714285714285714,-0.6448265255441941
OTU_3183,Rare OTUs,D7,40,0,FALSE,0,0,4.518424768517785e-5,0.5714285714285714,-0.6448265255441941
OTU_3184,Rare OTUs,D0,14,0.9285714285714286,TRUE,4.724737974631476e-5,3.01923251109568e-5,3.01923251109568e-5,0.9285714285714286,0
OTU_3184,Rare OTUs,D1,14,0.42857142857142855,TRUE,2.3787587637660315e-5,5.856819137199275e-5,3.01923251109568e-5,0.9285714285714286,0.21837981269165763
OTU_3184,Rare OTUs,D3,20,0.3,TRUE,1.17338535301583e-5,2.99360096936074e-5,3.01923251109568e-5,0.9285714285714286,-0.002570860991992774
OTU_3184,Rare OTUs,D5,20,0,FALSE,0,0,3.01923251109568e-5,0.9285714285714286,-0.5160342006553948
OTU_3184,Rare OTUs,D6,40,0.025,TRUE,8.397997917296526e-7,3.35919916691861e-5,3.01923251109568e-5,0.9285714285714286,0.032733021068355406
