Cutoff_label,dominance_cutoff,n_subsample,Treatment,retention_gap_Median,retention_gap_Q2.5,retention_gap_Q97.5,rare_transient_lost_Median,rare_transient_lost_Q2.5,rare_transient_lost_Q97.5,TL_gap_rare_minus_abundant_Median,TL_gap_rare_minus_abundant_Q2.5,TL_gap_rare_minus_abundant_Q97.5,abundant_shift_Median,abundant_shift_Q2.5,abundant_shift_Q97.5,rare_shift_Median,rare_shift_Q2.5,rare_shift_Q97.5,N_iterations
0.1%,0.001,10,D7,0.13657556020806436,0.09882300979826096,0.18047855303275506,0.9730700179533214,0.9668008836513624,0.9784951049758859,0.11933035937988667,0.09844235210417437,0.140910626239975,-0.9366112327350881,-1.4455303746952708,-0.49923433618159474,0.005189895359191121,-0.010720473971477872,0.12612248809967516,1000
0.1%,0.001,12,D0,0,0,0,0.1447132616487455,0.12942230183609493,0.16003576218149307,0.1447132616487455,0.12942230183609493,0.16003576218149307,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,12,D1,0.0724832214765101,0.06704814162946451,0.07882127000333713,0.3680679785330948,0.36094846913311235,0.3804887781087315,0.3680679785330948,0.36094846913311235,0.3804887781087315,-0.7231917662669194,-0.7556418553986667,-0.6790243160184193,-0.0906933832469452,-0.106445268372936,-0.033946223587752594,1000
0.1%,0.001,12,D3,0.30896453479175495,0.27026341891532646,0.34305369654264106,0.8927134555207867,0.8823779329899588,0.9038461538461539,0.25756822175801586,0.23117115650687725,0.28165045085706275,-1.413542289674834,-1.4457360341955556,-1.3644074155381225,-0.012312359196294587,-0.01464259690090286,-0.009305694019844836,1000
0.1%,0.001,12,D5,0.18600989246187816,0.14966638063227597,0.22053283660588727,0.9382826475849733,0.9342274518875463,0.943050603130977,0.14156749056400586,0.12810065663363113,0.1597023202739641,-1.4129191938141918,-1.4968453269281785,-1.2648652793051798,0.00875188248812453,-0.001353376966202191,0.02505094012556658,1000
0.1%,0.001,12,D6,0.14039057181130266,0.10965098942959693,0.17038252791593744,0.9494859186410372,0.9434897322458644,0.9549168701953876,0.14625051654401788,0.12061674353044642,0.1724001400452175,-1.0879205772628349,-1.416169511726777,-0.86569774419615,0.012021549951919397,-2.338583024773963e-4,0.03173423006095799,1000
0.1%,0.001,12,D7,0.14073168936295846,0.09780277569743988,0.1823031717096954,0.9771607702642185,0.9713899349291434,0.9811912225705329,0.11442988084969102,0.09306123959918758,0.13373968506235864,-1.0129279498058952,-1.4772640187157504,-0.6220817201487618,0.001109460654707739,-0.011120012429809256,0.10703858232144639,1000
0.1%,0.001,14,D0,0,0,0,0.10147518998658918,0.10147518998658918,0.10147518998658918,0.10147518998658918,0.10147518998658918,0.10147518998658918,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,14,D1,0.06034868126955739,0.06034868126955739,0.06034868126955739,0.3254358515869468,0.3254358515869468,0.3254358515869468,0.3254358515869468,0.3254358515869468,0.3254358515869468,-0.7192372134551743,-0.7192372134551743,-0.7192372134551743,-0.09241202930864834,-0.09241202930864834,-0.09241202930864834,1000
0.1%,0.001,14,D3,0.3115129841102125,0.28080312512699634,0.332080302352989,0.8824318283415288,0.8725972284309342,0.8922776039338399,0.2579916283984232,0.23727028894217095,0.27736416466859026,-1.408945697239055,-1.4291692269444427,-1.3713016237357205,-0.012677050540133239,-0.014447090958278374,-0.010340075832014939,1000
0.1%,0.001,14,D5,0.19242085585402527,0.15829235583370585,0.21745844678343562,0.9329459097004917,0.929816718819848,0.9369691551184622,0.14069573698541055,0.13069959767545813,0.1606768399235989,-1.4236269358671225,-1.4882634688598513,-1.3327133401185127,0.0059691518452598125,-5.758108421209939e-4,0.01610454802239627,1000
0.1%,0.001,14,D6,0.13817206485959277,0.11164333319787051,0.16455073759499328,0.9441215914170764,0.937863209655789,0.9499329459097006,0.15365952777664893,0.12862193684723866,0.17228837322713053,-1.098740221540694,-1.4098801333450708,-0.8952730147945749,0.01118369327443236,-2.135065031465544e-4,0.024657931050770188,1000
0.1%,0.001,14,D7,0.13720282846344534,0.09867547852237168,0.18199262405006705,0.9740724184175236,0.9687080911935628,0.9785426911041574,0.12086804567805898,0.1022392002275776,0.13904986385987728,-1.0759009100456431,-1.4690298454726773,-0.6951761343246023,-7.570569506065716e-6,-0.010522953598079532,0.08749446632053968,1000
1%,0.01,8,D0,0,0,0,0.14754098360655737,0.0883738918154953,0.17243204137623483,0.14754098360655737,0.0883738918154953,0.17243204137623483,NA,NA,NA,NA,NA,NA,1000
1%,0.01,8,D1,0.11123106040462316,0.10038905509381386,0.12267818574514033,0.3736430701575269,0.3574801994389442,0.39093198325383965,0.3736430701575269,0.3574801994389442,0.39093198325383965,-0.5025523858671967,-0.5802765972693535,-0.4123953894996284,-0.11126272479273513,-0.13311173391261077,-0.08413140020570126,1000
1%,0.01,8,D3,0.6168484325813096,0.530568387142029,0.6535652466994636,0.8887208707312246,0.872606570422799,0.9031975565517328,0.5927148903868581,0.5025279711312606,0.6742328935486731,-2.128212713927956,-2.43194888802394,-1.8464108976879876,-0.013580978165073532,-0.017538600844990704,-0.009110360453065281,1000
1%,0.01,8,D5,0.4971399115367987,0.32654100147357673,0.652708330222992,0.9356167594568756,0.9292265385879399,0.9408718170047475,0.31854272104014164,0.2867685043607971,0.39053717443112046,-2.04525041110775,-2.519291520700812,-1.4357118570134482,0.00800978399703478,-0.006549568108092707,0.039398277757766456,1000
1%,0.01,8,D6,0.4208916083916084,0.3088687455491932,0.5358152353850861,0.9468223086900129,0.9394437431410528,0.9545670859528987,0.30806574619471866,0.1747513008665672,0.44393741851368973,-1.5744507637231429,-2.1235812674231354,-0.8549738928963978,0.013913010799049275,-0.004923508262047126,0.06838708631658161,1000
1%,0.01,8,D7,0.29757394801489484,0.18168160840453768,0.4485164308840339,0.973718224903059,0.9669797837687443,0.9792748350220605,0.20485689961064574,0.1836801448515579,0.2809385079321711,-1.394322537787644,-2.2437115677974986,-0.4858494884408033,8.482399004119401e-4,-0.014145202956871866,0.12118285864056248,1000
1%,0.01,10,D0,0,0,0,0.09745579991375593,0.08519701848870134,0.12269694360740421,0.09745579991375593,0.08519701848870134,0.12269694360740421,NA,NA,NA,NA,NA,NA,1000
1%,0.01,10,D1,0.08613264427217915,0.07795004306632214,0.09528051598425456,0.31167992215124907,0.30193548387096775,0.3247097598058175,0.31167992215124907,0.30193548387096775,0.3247097598058175,-0.4937402661357424,-0.5778150834904461,-0.4129829269591043,-0.11024469361226918,-0.1288716396726092,-0.09290791911143868,1000
1%,0.01,10,D3,0.6050709067468844,0.5202913053060662,0.6351171973188102,0.8736027515047291,0.8596389978988822,0.8875494288635765,0.5962584397839,0.5527705835657902,0.6644761085861688,-2.182290210898204,-2.4568571942130117,-1.9525909653728841,-0.014120880354640875,-0.016653662480340503,-0.010351059053606537,1000
1%,0.01,10,D5,0.5153445826250145,0.3391739488482841,0.6503675267327366,0.9278040395358831,0.9222174473571122,0.9337926287578506,0.3128799894263812,0.28144230307623036,0.388883100285274,-2.085317788566619,-2.5314813762952024,-1.4435598405367778,0.005914167484903032,-0.005615929556627785,0.02512850270836022,1000
1%,0.01,10,D6,0.4176084702095812,0.3244491361344849,0.5615426527882604,0.938428414799687,0.9307213998111308,0.9461444833358754,0.35880430589352486,0.22590103641165662,0.44022196719943246,-1.6103353458686696,-2.0764200324176514,-1.0334988561164804,0.011549581363492045,-0.00420735755774968,0.032733021068355406,1000
1%,0.01,10,D7,0.32297611248327907,0.19120235944253472,0.45699813416226476,0.968978888410168,0.9625306833610905,0.9746752886667551,0.20114278164943689,0.18116707845205712,0.27973591915383234,-1.5278926968545277,-2.2448404950626064,-0.6543406751326089,-4.0489974404378515e-4,-0.014605918211324204,0.10526870309073962,1000
1%,0.01,12,D0,0,0,0,0.13917525773195877,0.1243010752688172,0.15359122752990675,0.13917525773195877,0.1243010752688172,0.15359122752990675,NA,NA,NA,NA,NA,NA,1000
1%,0.01,12,D1,0.06983718937446448,0.0644309165572052,0.07547250754797924,0.35377358490566035,0.34635151281574866,0.36507936507936506,0.35377358490566035,0.34635151281574866,0.36507936507936506,-0.4937402661357424,-0.5719580156499312,-0.4491727634390579,-0.11335678382001657,-0.1286977448663289,-0.10067414385382278,1000
1%,0.01,12,D3,0.5948673967541892,0.5086193170188997,0.6187540885682288,0.8842195540308748,0.8746767663551747,0.8949878449654459,0.595427094783318,0.5077409618683203,0.6715536433361763,-2.23982555580292,-2.426393624476323,-1.984652231420167,-0.014362043868338059,-0.016593698601061933,-0.011771468639076134,1000
1%,0.01,12,D5,0.553371157144742,0.39706729549233155,0.646058460979547,0.9333906317146541,0.9296137339055793,0.9383033419023137,0.3164043164043164,0.28721503692533734,0.36279609173720895,-2.162301642607323,-2.5417876301241087,-1.5750708837353837,0.005665928160980549,-0.005197512470337562,0.015948368717408457,1000
1%,0.01,12,D6,0.43080691437734353,0.31831376170998815,0.5644023731566871,0.9446233071719337,0.9382504288164666,0.9507283633247644,0.3288094150987285,0.17764041386173599,0.44469221836144257,-1.6211660707357773,-2.1016517451312784,-1.136290306850596,0.010449932405760753,-0.004735302103435157,0.030123100428057423,1000
1%,0.01,12,D7,0.33358645649148444,0.18588982947972388,0.48594541613409536,0.972961373390558,0.9673255300067493,0.9773007573872903,0.20411975608034733,0.18547234400569515,0.26339692850422464,-1.6624669311623637,-2.2769167331525497,-0.7489426758860561,-0.0023835166631789306,-0.012706089732680925,0.056515730133827824,1000
1%,0.01,14,D0,0,0,0,0.0972579263067695,0.0972579263067695,0.0972579263067695,0.0972579263067695,0.0972579263067695,0.0972579263067695,NA,NA,NA,NA,NA,NA,1000
1%,0.01,14,D1,0.05784061696658094,0.05784061696658094,0.05784061696658094,0.31191088260497,0.31191088260497,0.31191088260497,0.31191088260497,0.31191088260497,0.31191088260497,-0.4809624962509653,-0.4809624962509653,-0.4809624962509653,-0.12328915231290605,-0.12328915231290605,-0.12328915231290605,1000
1%,0.01,14,D3,0.5783732120493046,0.49802254300968957,0.5955111726319953,0.8736075407026564,0.8645994001713795,0.8834618680377035,0.6316986355546765,0.56033468459561,0.6488365961373674,-2.3165400255325483,-2.4215721374238477,-2.0132810708718263,-0.014747488040182777,-0.016533044751405157,-0.0128268345548328,1000
1%,0.01,14,D5,0.5479203743985235,0.3945026695669369,0.6257003493507349,0.9280205655526992,0.9245929734361611,0.9327335047129391,0.31263595016808376,0.3092083580515457,0.3173488893283237,-2.195683273158201,-2.5417876301241087,-1.6738344006712584,0.005326463193491726,-0.0040244706127470775,0.011856352736093556,1000
1%,0.01,14,D6,0.4022147518291477,0.31329510249818737,0.5504910684859271,0.9387317909168809,0.932305055698372,0.9451585261353899,0.32634631863423624,0.24342495550721766,0.4036978445718804,-1.6572309252021558,-2.089464957077572,-1.2193581435052347,0.008865704250368589,-0.0037145377225199054,0.02132520106425285,1000
1%,0.01,14,D7,0.3325753081537144,0.17999307890053393,0.47786319293388707,0.9695801199657241,0.9644387317909169,0.9747215081405313,0.20077779974952203,0.1952079625601476,0.2781400369125305,-1.6738054992914215,-2.3038962984455895,-0.8708624282737126,-0.0032462738121590284,-0.012569104183211709,0.02044882340624758,1000
