Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,12,Abundant OTUs,D1,Transient (0-0.25],0.15187059821299395,0.15113890963405524,0.13972602739726028,0.16483516483516483,110,1000
0.01%,1e-4,12,Abundant OTUs,D1,Intermediate (0.25-0.50],0.2085255265768995,0.20844686648501362,0.1958205811554333,0.2216142270861833,152,1000
0.01%,1e-4,12,Abundant OTUs,D1,High (0.50-<1.00),0.30874349392223854,0.3087431693989071,0.2916638283378747,0.32600847476894745,225,1000
0.01%,1e-4,12,Abundant OTUs,D1,Persistent (1.00),0.31780277882785213,0.3173076923076923,0.30926430517711173,0.3292458566024139,231,1000
0.01%,1e-4,12,Abundant OTUs,D3,Lost (0),0.7405795087560603,0.7397260273972602,0.7235213204951857,0.7626228536482099,539,1000
0.01%,1e-4,12,Abundant OTUs,D3,Transient (0-0.25],0.11580825791046678,0.11643835616438356,0.09876204972095383,0.1304945054945055,85,1000
0.01%,1e-4,12,Abundant OTUs,D3,Intermediate (0.25-0.50],0.03617994336846667,0.03591160220994475,0.028767123287671233,0.04395604395604396,26,1000
0.01%,1e-4,12,Abundant OTUs,D3,High (0.50-<1.00),0.04248720662938914,0.04237869375733519,0.034340659340659344,0.052269601100412656,31,1000
0.01%,1e-4,12,Abundant OTUs,D3,Persistent (1.00),0.0649450833356171,0.06464924346629987,0.06035665294924554,0.07005494505494506,47,1000
0.01%,1e-4,12,Abundant OTUs,D5,Lost (0),0.8561677430653948,0.8557692307692307,0.8443472499287547,0.869684499314129,624,1000
0.01%,1e-4,12,Abundant OTUs,D5,Transient (0-0.25],0.05733869869249546,0.05789113707609006,0.04395453654712914,0.06986301369863014,42,1000
0.01%,1e-4,12,Abundant OTUs,D5,Intermediate (0.25-0.50],0.011684617889835726,0.012244897959183673,0.006839945280437756,0.01652892561983471,9,1000
0.01%,1e-4,12,Abundant OTUs,D5,High (0.50-<1.00),0.03806829650841951,0.038303693570451436,0.031724137931034485,0.0437771489608905,28,1000
0.01%,1e-4,12,Abundant OTUs,D5,Persistent (1.00),0.03674064384385457,0.036834924965893585,0.0326975476839237,0.04162307641503202,27,1000
0.01%,1e-4,12,Abundant OTUs,D6,Lost (0),0.8704854231051106,0.8700136042065191,0.8542234332425068,0.8878361715175245,634,1000
0.01%,1e-4,12,Abundant OTUs,D6,Transient (0-0.25],0.0565929222314031,0.056865464632454926,0.03596003071914903,0.07480085297367663,41,1000
0.01%,1e-4,12,Abundant OTUs,D6,Intermediate (0.25-0.50],0.02217496595699898,0.02194787379972565,0.013736263736263736,0.03146482581564005,16,1000
0.01%,1e-4,12,Abundant OTUs,D6,High (0.50-<1.00),0.030025622628613895,0.03017832647462277,0.02319157023318749,0.03708791208791209,22,1000
0.01%,1e-4,12,Abundant OTUs,D6,Persistent (1.00),0.020721066077873437,0.02077562326869806,0.012413793103448275,0.027510316368638238,15,1000
0.01%,1e-4,12,Abundant OTUs,D7,Lost (0),0.8627916875341447,0.8626373626373627,0.8282848780007871,0.8987825828005621,628,1000
0.01%,1e-4,12,Abundant OTUs,D7,Transient (0-0.25],0.0930828402085001,0.09278361229418056,0.056863495606671255,0.12894818658707546,68,1000
0.01%,1e-4,12,Abundant OTUs,D7,Intermediate (0.25-0.50],0.01711908266743415,0.016643550624133148,0.010943538681198748,0.023384574139544756,12,1000
0.01%,1e-4,12,Abundant OTUs,D7,High (0.50-<1.00),0.020398814260762108,0.02054794520547945,0.01498586628111735,0.02631578947368421,15,1000
