Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,12,Abundant OTUs,D7,Persistent (1.00),0.006607575329158912,0.006830601092896175,0.004098360655737705,0.010944287240222625,5,1000
0.01%,1e-4,12,Rare OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,12,Rare OTUs,D0,Transient (0-0.25],0.20051014130463257,0.2006172839506173,0.17861557478368356,0.22126081582200247,324,1000
0.01%,1e-4,12,Rare OTUs,D0,Intermediate (0.25-0.50],0.2285467239875481,0.22662538699690402,0.21322620519159455,0.2589616810877627,366,1000
0.01%,1e-4,12,Rare OTUs,D0,High (0.50-<1.00),0.4407097374025,0.44114002478314746,0.4251237623762376,0.45185185185185184,714,1000
0.01%,1e-4,12,Rare OTUs,D0,Persistent (1.00),0.13023339730531933,0.13000616142945162,0.12243629583592293,0.13835701050030882,210,1000
0.01%,1e-4,12,Rare OTUs,D1,Lost (0),0.09486186354369444,0.09479553903345725,0.08690188525972664,0.10310670262680359,153,1000
0.01%,1e-4,12,Rare OTUs,D1,Transient (0-0.25],0.3412161321730404,0.3409512044471896,0.3300370828182942,0.35192069392812886,551,1000
0.01%,1e-4,12,Rare OTUs,D1,Intermediate (0.25-0.50],0.2016921179552591,0.20333745364647712,0.18316701083516174,0.21526151220871229,329,1000
0.01%,1e-4,12,Rare OTUs,D1,High (0.50-<1.00),0.2630129554157334,0.2638758660157239,0.25200363757422684,0.2737949910888934,426,1000
0.01%,1e-4,12,Rare OTUs,D1,Persistent (1.00),0.0992169309122727,0.09581401055179634,0.09260266397476925,0.12391573729863693,155,1000
0.01%,1e-4,12,Rare OTUs,D3,Lost (0),0.7447921822378303,0.7443890274314214,0.728622987324819,0.7641253217257903,1202.5,1000
0.01%,1e-4,12,Rare OTUs,D3,Transient (0-0.25],0.1472579802193144,0.1472868425748728,0.13576555239606417,0.15766688087119055,238,1000
0.01%,1e-4,12,Rare OTUs,D3,Intermediate (0.25-0.50],0.04586625707508774,0.04579207920792079,0.037793714825002586,0.05438981629930607,74,1000
0.01%,1e-4,12,Rare OTUs,D3,High (0.50-<1.00),0.037674690464766444,0.03767757875231625,0.031598513011152414,0.044528280211606173,61,1000
0.01%,1e-4,12,Rare OTUs,D3,Persistent (1.00),0.02440889000300108,0.024193548387096774,0.021631644004944377,0.027346177750155375,39,1000
0.01%,1e-4,12,Rare OTUs,D5,Lost (0),0.8548996934401186,0.8547692307692307,0.8459158415841584,0.8648481091134532,1381,1000
