Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,n_retained_Median,median_log10_shift_Mean,median_log10_shift_Median,median_log10_shift_Q2.5,median_log10_shift_Q97.5,prop_decrease_Median,prop_increase_Median,N_iterations
1%,0.01,10,Rare OTUs,D7,258,0.007384249622367534,-4.0489974404378515e-4,-0.014605918211324204,0.10526870309073962,0.5040539653361344,0.49594603466386555,1000
1%,0.01,12,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,12,Abundant OTUs,D1,13,-0.5083545313853207,-0.4937402661357424,-0.5719580156499312,-0.4491727634390579,0.8461538461538461,0.15384615384615385,1000
1%,0.01,12,Abundant OTUs,D3,11,-2.225483911587271,-2.23982555580292,-2.426393624476323,-1.984652231420167,0.9090909090909091,0.09090909090909091,1000
1%,0.01,12,Abundant OTUs,D5,9,-2.0941807899469302,-2.162301642607323,-2.5417876301241087,-1.5750708837353837,0.8888888888888888,0.1111111111111111,1000
1%,0.01,12,Abundant OTUs,D6,8,-1.599420876901771,-1.6211660707357773,-2.1016517451312784,-1.136290306850596,0.875,0.125,1000
1%,0.01,12,Abundant OTUs,D7,6,-1.5753514563739657,-1.6624669311623637,-2.2769167331525497,-0.7489426758860561,0.8333333333333334,0.16666666666666666,1000
1%,0.01,12,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,12,Rare OTUs,D1,2168,-0.1142318920341092,-0.11335678382001657,-0.1286977448663289,-0.10067414385382278,0.6917068634673884,0.30829313653261164,1000
1%,0.01,12,Rare OTUs,D3,591,-0.014361881177503201,-0.014362043868338059,-0.016593698601061933,-0.011771468639076134,0.6989341965773134,0.30016723577167564,1000
1%,0.01,12,Rare OTUs,D5,331,0.005340597662873482,0.005665928160980549,-0.005197512470337562,0.015948368717408457,0.4590679451489844,0.5409320548510156,1000
1%,0.01,12,Rare OTUs,D6,319.5,0.010719706877155202,0.010449932405760753,-0.004735302103435157,0.030123100428057423,0.43217665615141954,0.5678233438485805,1000
1%,0.01,12,Rare OTUs,D7,288,0.0016135034539792956,-0.0023835166631789306,-0.012706089732680925,0.056515730133827824,0.5133087544278175,0.48669124557218246,1000
1%,0.01,14,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,14,Abundant OTUs,D1,13,-0.4809624962509653,-0.4809624962509653,-0.4809624962509653,-0.4809624962509653,0.8461538461538461,0.15384615384615385,1000
