Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.01%,1e-4,14,"Mean abundant decrease proportion, D1-D7",0.7908115584619274,0.009313846450855326,0.791070296283156,0.7729133749113932,0.8084104723904482,1000
0.01%,1e-4,14,"Mean abundant median log10 shift vs D0, D1-D7",-0.5959150586428911,0.015407535705920383,-0.5960397128720484,-0.6253810706348185,-0.5676815904786462,1000
0.01%,1e-4,14,"Mean rare decrease proportion, D1-D7",0.47589350495622135,0.014802575396516943,0.47591330350743655,0.4477079715471568,0.504174037528793,1000
0.01%,1e-4,14,"Mean rare median log10 shift vs D0, D1-D7",0.02155221024626635,0.010098706259969215,0.024766674876535565,0.003190187747229954,0.04041807099998885,1000
0.01%,1e-4,14,"Mean rare transient/lost proportion, D1-D7",0.8246235294117648,0.0015958223159148856,0.8246439628482972,0.821547987616099,0.8277399380804954,1000
0.01%,1e-4,14,"Mean rare transient/lost proportion, D3-D7",0.9331013931888544,0.001994777894893605,0.9331269349845202,0.9292569659442724,0.9369969040247678,1000
0.01%,1e-4,14,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.07125221793635488,0.0015826328300884867,0.07126309022314711,0.06826403339592958,0.0744874342316737,1000
0.01%,1e-4,14,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.02451566914513864,0.0019782910376106087,0.024529259503628928,0.020780438469607018,0.028559689514287175,1000
0.01%,1e-4,14,"Mean retention gap: abundant minus rare, D1-D7",0.014258751120810698,0.003657795452827917,0.01421467120066317,0.0072754233703835195,0.02135235750900878,1000
0.01%,1e-4,14,"Mean retention gap: abundant minus rare, D3-D7",-9.642101879578343e-5,0.004572244316034896,-1.5152091898019276e-4,-0.008825580706829756,0.008770586966451818,1000
0.01%,1e-4,14,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.01%,1e-4,14,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.01%,1e-4,14,Retention gap > 0 in all diluted treatments,0.007,0.08341437500789632,0,0,0,1000
0.01%,1e-4,14,Retention gap > 0 in all stronger dilution treatments,0.007,0.08341437500789632,0,0,0,1000
0.01%,1e-4,14,Spearman rho: abundant retained proportion vs dilution rank,-0.9007463818187194,0.07425228491710158,-0.9428571428571428,-1,-0.7714285714285715,1000
