"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations","Ref_Median","Difference_from_n14","Ratio_to_n14","Same_sign_as_n14"
10,"D5","Zeta_order2",0.557017964208808,0.556964738185811,0.53619091333002,0.579614979359718,100,0.557428602594782,-0.000463864408970061,0.999167849646016,TRUE
10,"D5","Zeta_order3",0.41112708835433,0.411721297243571,0.384667875341678,0.438180479586729,100,0.411117155588108,0.00060414165546252,1.00146951215061,TRUE
10,"D6","DeltaAIC_ExpMinusPower",28.0267171508849,26.5432631944582,20.1897625489463,40.7443603050662,100,35.4852046745272,-8.94194148006896,0.748009302409692,TRUE
10,"D6","Exp_slope",-0.208491530285988,-0.204782000426061,-0.254232481108206,-0.177138466464767,100,-0.143561812504699,-0.0612201879213625,1.42643783087761,TRUE
10,"D6","Last_over_first",0.114333611901444,0.11681301751025,0.0731207494052036,0.148574482297929,100,0.0937285476698789,0.0230844698403706,1.24629070239812,TRUE
10,"D6","Power_slope",-0.935198634737022,-0.922299129052185,-1.11793360484052,-0.812804651579153,100,-0.865231180041167,-0.0570679490110185,1.06595687988071,TRUE
10,"D6","Zeta_half_order",0.186715463786792,0.189316977331728,0.151332910239508,0.214436919904847,100,0.14631950024593,0.042997477085798,1.2938601964436,TRUE
10,"D6","Zeta_last",0.114333611901444,0.11681301751025,0.0731207494052036,0.148574482297929,100,0.0937285476698789,0.0230844698403706,1.24629070239812,TRUE
10,"D6","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
10,"D6","Zeta_order2",0.450838886413955,0.454535037321928,0.415607787274454,0.475267449686315,100,0.449706118271981,0.00482891904994698,1.01073794385654,TRUE
10,"D6","Zeta_order3",0.29400359504512,0.297650736035491,0.256996859362997,0.31955134298396,100,0.293620010120275,0.00403072591521592,1.01372769489915,TRUE
10,"D7","DeltaAIC_ExpMinusPower",28.2852013695261,27.1197500270686,18.2800092996216,45.6448951337702,100,37.5954140624027,-10.4756640353341,0.721357928976496,TRUE
