"Model","AIC","Common_n","Iteration","Group"
"PowerLaw",-29.3443534870221,10,25,"D6"
"Exponential",-4.21083113522,10,25,"D7"
"PowerLaw",-42.1248738644302,10,25,"D7"
"Exponential",-38.3621321505698,10,26,"D0"
"PowerLaw",-83.4121844869109,10,26,"D0"
"Exponential",-23.0724011301046,10,26,"D1"
"PowerLaw",-69.2186146366747,10,26,"D1"
"Exponential",-16.7543185632604,10,26,"D3"
"PowerLaw",-36.5316291806531,10,26,"D3"
"Exponential",-15.605483786656,10,26,"D5"
"PowerLaw",-45.466911574229,10,26,"D5"
"Exponential",-9.31144546726845,10,26,"D6"
"PowerLaw",-33.3921453819414,10,26,"D6"
"Exponential",-4.26412916604892,10,26,"D7"
"PowerLaw",-35.9573995112673,10,26,"D7"
"Exponential",-38.0701626755045,10,27,"D0"
"PowerLaw",-77.5390696587984,10,27,"D0"
"Exponential",-22.83532350115,10,27,"D1"
"PowerLaw",-69.8643451985095,10,27,"D1"
"Exponential",-18.9460666059469,10,27,"D3"
"PowerLaw",-40.4072967917016,10,27,"D3"
"Exponential",-16.3223754965659,10,27,"D5"
"PowerLaw",-50.9314338404303,10,27,"D5"
"Exponential",-10.3897577772924,10,27,"D6"
"PowerLaw",-35.0453815216657,10,27,"D6"
"Exponential",-2.09595937951451,10,27,"D7"
"PowerLaw",-29.5823847168824,10,27,"D7"
"Exponential",-38.0761937893506,10,28,"D0"
"PowerLaw",-76.3771249966072,10,28,"D0"
"Exponential",-25.6307755975681,10,28,"D1"
"PowerLaw",-68.7010140802937,10,28,"D1"
"Exponential",-17.3645592697224,10,28,"D3"
"PowerLaw",-38.0509950979334,10,28,"D3"
"Exponential",-14.110123780728,10,28,"D5"
"PowerLaw",-40.9155807598137,10,28,"D5"
"Exponential",-8.37600075982131,10,28,"D6"
"PowerLaw",-32.8399673824486,10,28,"D6"
"Exponential",-4.87163714485571,10,28,"D7"
"PowerLaw",-36.6558901144148,10,28,"D7"
"Exponential",-37.9783870091565,10,29,"D0"
"PowerLaw",-79.6616950969842,10,29,"D0"
"Exponential",-23.332339304178,10,29,"D1"
"PowerLaw",-74.0779221588694,10,29,"D1"
"Exponential",-17.5157703839705,10,29,"D3"
"PowerLaw",-36.0983532247904,10,29,"D3"
"Exponential",-16.8544310200712,10,29,"D5"
"PowerLaw",-57.2918381164684,10,29,"D5"
"Exponential",-9.84959416048737,10,29,"D6"
"PowerLaw",-35.7512804370507,10,29,"D6"
"Exponential",-5.16686798463139,10,29,"D7"
"PowerLaw",-36.7372528371099,10,29,"D7"
"Exponential",-38.3874773437213,10,30,"D0"
"PowerLaw",-81.3759945528133,10,30,"D0"
"Exponential",-22.8307858407748,10,30,"D1"
"PowerLaw",-69.744085567358,10,30,"D1"
"Exponential",-16.5121728291782,10,30,"D3"
"PowerLaw",-36.3971353283009,10,30,"D3"
"Exponential",-15.8680028425668,10,30,"D5"
"PowerLaw",-48.9678003495144,10,30,"D5"
"Exponential",-9.49478323364388,10,30,"D6"
"PowerLaw",-46.2930244468565,10,30,"D6"
"Exponential",-6.35327522457291,10,30,"D7"
"PowerLaw",-35.419036463362,10,30,"D7"
"Exponential",-38.1954737964505,10,31,"D0"
"PowerLaw",-83.0373573426209,10,31,"D0"
"Exponential",-22.4549456126075,10,31,"D1"
"PowerLaw",-66.4572886493296,10,31,"D1"
"Exponential",-17.0560624084261,10,31,"D3"
"PowerLaw",-36.4680686294387,10,31,"D3"
"Exponential",-16.0847851878283,10,31,"D5"
"PowerLaw",-45.242927466355,10,31,"D5"
"Exponential",-7.25539583084787,10,31,"D6"
"PowerLaw",-36.8507256285249,10,31,"D6"
"Exponential",-0.788120534265943,10,31,"D7"
"PowerLaw",-22.6339403694507,10,31,"D7"
"Exponential",-37.8274129682856,10,32,"D0"
"PowerLaw",-79.7376369115823,10,32,"D0"
"Exponential",-24.6943727204514,10,32,"D1"
"PowerLaw",-69.5871550498382,10,32,"D1"
"Exponential",-17.6643538132825,10,32,"D3"
"PowerLaw",-36.3234257494441,10,32,"D3"
"Exponential",-16.6580666406668,10,32,"D5"
"PowerLaw",-48.3670125127145,10,32,"D5"
"Exponential",-9.63084628611474,10,32,"D6"
"PowerLaw",-42.9734354096842,10,32,"D6"
"Exponential",-7.44022109363195,10,32,"D7"
"PowerLaw",-42.0509231641606,10,32,"D7"
"Exponential",-38.4987062276277,10,33,"D0"
"PowerLaw",-85.9736498135291,10,33,"D0"
"Exponential",-23.7175630435765,10,33,"D1"
"PowerLaw",-74.8955320465306,10,33,"D1"
"Exponential",-18.2005812093127,10,33,"D3"
"PowerLaw",-36.3110766725691,10,33,"D3"
"Exponential",-16.9634463524496,10,33,"D5"
"PowerLaw",-56.6520419394757,10,33,"D5"
"Exponential",-8.48913141056702,10,33,"D6"
"PowerLaw",-33.6566999677213,10,33,"D6"
"Exponential",-9.59122657761626,10,33,"D7"
"PowerLaw",-39.3142470706593,10,33,"D7"
"Exponential",-38.1480918820433,10,34,"D0"
"PowerLaw",-81.6052221162178,10,34,"D0"
"Exponential",-23.2160802432305,10,34,"D1"
"PowerLaw",-72.6831219497139,10,34,"D1"
"Exponential",-18.8454332017478,10,34,"D3"
"PowerLaw",-39.0421608165708,10,34,"D3"
"Exponential",-15.3282916487961,10,34,"D5"
"PowerLaw",-44.8362220578643,10,34,"D5"
"Exponential",-8.90314957892699,10,34,"D6"
"PowerLaw",-32.6423398183846,10,34,"D6"
"Exponential",-6.22986735275462,10,34,"D7"
"PowerLaw",-42.3416090706903,10,34,"D7"
"Exponential",-38.054209814427,10,35,"D0"
"PowerLaw",-80.1068791352304,10,35,"D0"
"Exponential",-23.5054636883444,10,35,"D1"
"PowerLaw",-72.8231924708285,10,35,"D1"
"Exponential",-17.676110533198,10,35,"D3"
"PowerLaw",-36.1703776855052,10,35,"D3"
"Exponential",-16.1838855573042,10,35,"D5"
"PowerLaw",-45.7716749133414,10,35,"D5"
"Exponential",-9.05921476225412,10,35,"D6"
"PowerLaw",-33.5286513306865,10,35,"D6"
"Exponential",-4.92298357502608,10,35,"D7"
"PowerLaw",-35.6643729677866,10,35,"D7"
"Exponential",-38.7143664416595,10,36,"D0"
"PowerLaw",-90.0912585004835,10,36,"D0"
"Exponential",-24.718663828496,10,36,"D1"
"PowerLaw",-68.191985008802,10,36,"D1"
"Exponential",-17.1426634856483,10,36,"D3"
"PowerLaw",-36.0995594123297,10,36,"D3"
"Exponential",-16.8084352003668,10,36,"D5"
"PowerLaw",-50.4992652604413,10,36,"D5"
"Exponential",-7.5196265636243,10,36,"D6"
"PowerLaw",-26.7744939208253,10,36,"D6"
"Exponential",-5.73295138141455,10,36,"D7"
"PowerLaw",-24.3967094096877,10,36,"D7"
"Exponential",-38.4730173995934,10,37,"D0"
"PowerLaw",-84.5192324107021,10,37,"D0"
"Exponential",-22.4780400648461,10,37,"D1"
"PowerLaw",-64.8955223079725,10,37,"D1"
"Exponential",-18.1803494622054,10,37,"D3"
"PowerLaw",-36.8172470884939,10,37,"D3"
"Exponential",-17.0488509109468,10,37,"D5"
"PowerLaw",-59.6954580739555,10,37,"D5"
"Exponential",-9.33122055957076,10,37,"D6"
"PowerLaw",-35.8450919741976,10,37,"D6"
"Exponential",-5.66321113022131,10,37,"D7"
"PowerLaw",-36.8158653577386,10,37,"D7"
"Exponential",-37.8375774384569,10,38,"D0"
"PowerLaw",-79.5692675462321,10,38,"D0"
"Exponential",-23.6847660413676,10,38,"D1"
"PowerLaw",-78.8048924375912,10,38,"D1"
"Exponential",-17.8005265857412,10,38,"D3"
"PowerLaw",-37.2795274812265,10,38,"D3"
"Exponential",-14.5778248205917,10,38,"D5"
"PowerLaw",-47.803605136935,10,38,"D5"
"Exponential",-8.39461707195002,10,38,"D6"
"PowerLaw",-31.4044816295563,10,38,"D6"
"Exponential",-8.11579533878376,10,38,"D7"
"PowerLaw",-37.5260617212384,10,38,"D7"
"Exponential",-38.0398375112907,10,39,"D0"
"PowerLaw",-79.5483950038447,10,39,"D0"
"Exponential",-23.6167939126919,10,39,"D1"
"PowerLaw",-74.6225619746025,10,39,"D1"
"Exponential",-19.0075182120755,10,39,"D3"
"PowerLaw",-40.7489696502706,10,39,"D3"
"Exponential",-18.181443494875,10,39,"D5"
"PowerLaw",-54.5128138010207,10,39,"D5"
"Exponential",-9.70014344025574,10,39,"D6"
"PowerLaw",-30.7652668355292,10,39,"D6"
"Exponential",-9.58706311536492,10,39,"D7"
"PowerLaw",-37.07627378,10,39,"D7"
"Exponential",-37.8496243646858,10,40,"D0"
"PowerLaw",-79.3512290188119,10,40,"D0"
"Exponential",-22.4268614626916,10,40,"D1"
"PowerLaw",-66.781353032759,10,40,"D1"
"Exponential",-18.6886313001276,10,40,"D3"
"PowerLaw",-38.7816218002053,10,40,"D3"
"Exponential",-15.1911826118885,10,40,"D5"
"PowerLaw",-47.5520360255607,10,40,"D5"
"Exponential",-8.88394940832925,10,40,"D6"
"PowerLaw",-37.7189139941815,10,40,"D6"
"Exponential",-2.50203639397341,10,40,"D7"
"PowerLaw",-32.3174914975207,10,40,"D7"
"Exponential",-39.9655037486354,10,41,"D0"
"PowerLaw",-102.310748196292,10,41,"D0"
"Exponential",-22.8008304274631,10,41,"D1"
"PowerLaw",-69.522486523562,10,41,"D1"
"Exponential",-17.1771657244076,10,41,"D3"
"PowerLaw",-38.1424585733967,10,41,"D3"
"Exponential",-16.1971160605748,10,41,"D5"
"PowerLaw",-50.4434232500468,10,41,"D5"
"Exponential",-9.56434606283216,10,41,"D6"
"PowerLaw",-36.3110588564926,10,41,"D6"
"Exponential",-7.86572453873865,10,41,"D7"
"PowerLaw",-44.1502885902525,10,41,"D7"
"Exponential",-37.6187626855881,10,42,"D0"
"PowerLaw",-73.4791975180662,10,42,"D0"
"Exponential",-23.2532124364653,10,42,"D1"
"PowerLaw",-70.7645347420959,10,42,"D1"
"Exponential",-17.8824317710878,10,42,"D3"
"PowerLaw",-37.7535266639644,10,42,"D3"
"Exponential",-16.7990597247455,10,42,"D5"
"PowerLaw",-49.0851066609061,10,42,"D5"
"Exponential",-7.7228664943522,10,42,"D6"
"PowerLaw",-37.6886669224531,10,42,"D6"
"Exponential",-1.21503876739695,10,42,"D7"
"PowerLaw",-25.5676386975716,10,42,"D7"
"Exponential",-37.9605243646903,10,43,"D0"
"PowerLaw",-78.3858276150312,10,43,"D0"
"Exponential",-23.3085392736962,10,43,"D1"
"PowerLaw",-72.8130957921848,10,43,"D1"
"Exponential",-17.7270583444553,10,43,"D3"
"PowerLaw",-38.3836497204432,10,43,"D3"
"Exponential",-15.9500820802681,10,43,"D5"
"PowerLaw",-60.230642809261,10,43,"D5"
"Exponential",-9.7590969595633,10,43,"D6"
"PowerLaw",-32.3891936585851,10,43,"D6"
"Exponential",-2.60380705814377,10,43,"D7"
"PowerLaw",-28.7005076595876,10,43,"D7"
"Exponential",-40.2555016073537,10,44,"D0"
"PowerLaw",-94.5273134863033,10,44,"D0"
"Exponential",-23.7832063764638,10,44,"D1"
"PowerLaw",-75.8929400882936,10,44,"D1"
"Exponential",-17.4571243068391,10,44,"D3"
"PowerLaw",-37.7281546320273,10,44,"D3"
"Exponential",-16.3298192216155,10,44,"D5"
"PowerLaw",-46.4987148224285,10,44,"D5"
"Exponential",-9.61929479933654,10,44,"D6"
"PowerLaw",-33.049815733331,10,44,"D6"
"Exponential",-5.54132162726777,10,44,"D7"
"PowerLaw",-43.9066536268293,10,44,"D7"
"Exponential",-38.1275610463442,10,45,"D0"
"PowerLaw",-77.2858354547502,10,45,"D0"
"Exponential",-24.8211008196401,10,45,"D1"
"PowerLaw",-69.9101874804536,10,45,"D1"
"Exponential",-18.2060712501553,10,45,"D3"
"PowerLaw",-37.8768895155985,10,45,"D3"
"Exponential",-17.7004568642166,10,45,"D5"
"PowerLaw",-61.0427860583348,10,45,"D5"
"Exponential",-7.26062865847638,10,45,"D6"
"PowerLaw",-35.1851631350652,10,45,"D6"
"Exponential",-6.9495871312008,10,45,"D7"
"PowerLaw",-46.7142826029355,10,45,"D7"
"Exponential",-38.1177361526172,10,46,"D0"
"PowerLaw",-77.6509752450127,10,46,"D0"
"Exponential",-25.8204823879678,10,46,"D1"
"PowerLaw",-72.7128016370693,10,46,"D1"
"Exponential",-16.7577030277861,10,46,"D3"
"PowerLaw",-37.4752292883029,10,46,"D3"
"Exponential",-17.0395957896642,10,46,"D5"
"PowerLaw",-52.8960453914967,10,46,"D5"
"Exponential",-8.44982957406164,10,46,"D6"
"PowerLaw",-34.7702241338986,10,46,"D6"
"Exponential",-3.36813126269379,10,46,"D7"
"PowerLaw",-25.8177154437665,10,46,"D7"
"Exponential",-38.3747802737127,10,47,"D0"
