"Common_n","Group","Order","Mean_Zeta","Median_Zeta","Q2.5_Zeta","Q97.5_Zeta","Mean_Ratio","Median_Ratio","Q2.5_Ratio","Q97.5_Ratio","N_iterations"
12,"D3",7,0.320298182312322,0.320326679352778,0.304529280846156,0.33625431385495,0.945683603731975,0.945686635428299,0.940884294305289,0.95186911641195,100
12,"D3",8,0.305919657914658,0.305654193821458,0.289551399545535,0.32258830524004,0.955054216750552,0.95476176534907,0.950273318463142,0.961168322200187,100
12,"D3",9,0.294238063210501,0.293950201639834,0.277432795018038,0.311437880977867,0.961754523065641,0.961459003398967,0.956883192798999,0.967634427390279,100
12,"D3",10,0.28448454632408,0.284263391780926,0.266989057679523,0.302500913385423,0.966785043769845,0.966466733055755,0.96171165755822,0.973012380192742,100
12,"D3",11,0.276173912111085,0.275315776583312,0.257869227036516,0.295011523478813,0.970713555131871,0.970521186818703,0.965070268258381,0.976941187174003,100
12,"D3",12,0.268982642001643,0.267707075673979,0.249918455336512,0.288600349009377,0.973879393583576,0.973735950393408,0.967798232571659,0.979973411098722,100
12,"D5",1,1,1,1,1,NA,NA,NA,NA,100
12,"D5",2,0.556477976387286,0.556663211246352,0.541650318495159,0.570587120405294,0.556477976387286,0.556663211246352,0.541650318495159,0.570587120405294,100
12,"D5",3,0.410420757709422,0.409894007785222,0.392124102132134,0.430517968049309,0.737405257104054,0.736587866855555,0.720334007435363,0.755044404299826,100
12,"D5",4,0.337134704875931,0.336645222235483,0.317399185617327,0.360439972006992,0.821216333456951,0.819343235672069,0.807419365204222,0.838510035046566,100
12,"D5",5,0.292012973397029,0.29053575839921,0.2715643307255,0.316959390657558,0.86588791733538,0.864870989694553,0.853836908038672,0.881614841817451,100
12,"D5",6,0.260614909572996,0.259089316619597,0.239499992710344,0.287149934690918,0.892158820710669,0.890350501692115,0.88019447005973,0.906902460496354,100
12,"D5",7,0.237026426033069,0.234940810709205,0.215137495718409,0.2650330509931,0.909120438589772,0.908327693642752,0.896140315809081,0.924690487537666,100
12,"D5",8,0.218408787423896,0.215533183337161,0.195490729604962,0.24857823587346,0.921026852716395,0.920193563427937,0.90582492604938,0.93729467447492,100
12,"D5",9,0.203220216313412,0.200162800418311,0.178605462061743,0.234760010498732,0.929966296792809,0.929142379900794,0.913594713125635,0.947721056341323,100
