"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","D001","D616",0.0185310200699346,0.177209837318409,0.540050394047682,0.0906079643369146,0.173600784227059
"CbMPDiCbraya","D001","D617",0.0260586138896261,0.521883054584519,0.203802950517677,0.13262020550219,0.115635175505987
"CbMPDiCbraya","D001","D618",0.0250942542602926,0.346856246897816,0.209717662619168,0.0392503311295808,0.379081505093142
"CbMPDiCbraya","D001","D619",0.0266107591231147,0.116528947262376,0.781985055278903,0.0254625957235384,0.0494126426120678
"CbMPDiCbraya","D001","D620",0.023659888978439,0.165821409826039,0.539789081456008,0.0151993969478513,0.255530222791662
"CbMPDiCbraya","D001","D621",0.0262975221496477,0.249621484823057,0.210186255523031,0.0397182941911565,0.474176443313108
"CbMPDiCbraya","D001","D622",0.0242014952041797,0.447116884739916,0.473717733127437,0.0128631173286245,0.0421007695998426
"CbMPDiCbraya","D001","D623",0.0181873020660534,0.359074710048614,0.202521975806718,0.0399215145049338,0.380294497573681
"CbMPDiCbraya","D001","D624",0.0495702005730659,0.106784917636784,0.523630583568516,0.0124136384589608,0.307600659762674
"CbMPDiCbraya","D001","D625",0.0265791675619487,0.161875504212404,0.446403943255337,0.0197425516870077,0.345398833283303
"CbMPDiCbraya","D001","D626",0.0254379699852569,0.321297238364648,0.313731619806841,0.0217423857032644,0.31779078613999
"CbMPDiCbraya","D001","D627",0.0190720535655399,0.129818720391454,0.424533025026166,0.0139527892255878,0.412623411791253
"CbMPDiCbraya","D001","D628",0.0238888780987163,0.151531054629427,0.432296823534001,0.00500005886872253,0.387283184869133
"CbMPDiCbraya","D001","D629",0.02577406170962,0.094571309057516,0.407238977668729,0.138559551986078,0.333856099578058
"CbMPDiCbraya","D001","D630",0.0254871750590052,0.346322740372613,0.229267222381455,0.040919887185999,0.358002975000927
"CbMPDiCbraya","D001","D631",0.0172936699963047,0.181264326346995,0.559614604245275,0.0233834182807115,0.218443981130715
"CbMPDiCbraya","D001","D632",0.0187353552272631,0.43374362418156,0.24970536992066,0.155566684713086,0.142248965957431
"CbMPDiCbraya","D001","D633",0.0182042779034385,0.273121971038551,0.530042883597317,0.115526608616863,0.0631042588438303
"CbMPDiCbraya","D001","D634",0.0159221263366995,0.228522014322529,0.534812629711453,0.00543676177374612,0.215306467855572
"CbMPDiCbraya","D001","D635",0.0200834503883203,0.200530915162193,0.335692748279833,0.00260818860389649,0.441084697565758
"CbMPDiCbraya","D001","D636",0.0339779115923469,0.455975933539213,0.231784082966494,0.153894390550152,0.124367681351795
"CbMPDiCbraya","D001","D637",0.0183254870076649,0.185465501301528,0.556902362421564,0.102151455941461,0.137155193327782
"CbMPDiCbraya","D001","D638",0.0170592999240304,0.175579153601442,0.317630985033434,0.00762960834590291,0.482100953095191
"CbMPDiCbraya","D001","D639",0.0127324826750756,0.470906264722976,0.380172199760866,0.0100733693867761,0.126115683454306
"CbMPDiCbraya","D001","D640",0.0608735088747546,0.18454308830721,0.132503820045203,0.00936613458255328,0.612713448190279
"CbMPDiCbraya","D001","D701",0.0497059267078872,0.105697500866033,0.511465233270999,0.158686333098921,0.17444500605616
"CbMPDiCbraya","D001","D702",0.0292112452036772,0.562077232246825,0.178914410606319,0.132218913417366,0.0975781985258128
"CbMPDiCbraya","D001","D703",0.0276430806183274,0.1212912002798,0.199319029439845,0.208971804459587,0.442774885202441
"CbMPDiCbraya","D001","D704",0.0499467769200451,0.224181716113661,0.288195261066358,0.0520932624138982,0.385582983486037
"CbMPDiCbraya","D001","D705",0.0188119526812271,0.1807502015282,0.48784593714346,0.0216096459571243,0.290982262689989
"CbMPDiCbraya","D001","D706",0.0426919200795281,0.0894331189846597,0.467040631006317,0.124178568421049,0.276655761508446
"CbMPDiCbraya","D001","D707",0.0255755314073364,0.405586227141664,0.284567244012697,0.137162287099606,0.147108710338697
"CbMPDiCbraya","D001","D708",0.0502302025381346,0.151160950731288,0.408560959534172,0.111053366661641,0.278994520534764
"CbMPDiCbraya","D001","D709",0.0258780218977084,0.310267351719031,0.182792942240989,0.165357419425117,0.315704264717154
"CbMPDiCbraya","D001","D710",0.0252601417584075,0.139869773294567,0.537214953990455,0.0870954116859927,0.210559719270578
"CbMPDiCbraya","D001","D711",0.0288397294515328,0.104477203364487,0.544637025914835,0.176463279990428,0.145582761278718
"CbMPDiCbraya","D001","D712",0.0497059267078872,0.361491850293452,0.279397407405727,0.206759912012945,0.102644903579989
"CbMPDiCbraya","D001","D713",0.0178102850248831,0.160866758965451,0.522165304162692,0.104632322369295,0.194525329477679
"CbMPDiCbraya","D001","D714",0.0225892954417484,0.178507092017063,0.420402166653457,0.137738947478748,0.240762498408984
"CbMPDiCbraya","D001","D715",0.0190137717656275,0.226002322232313,0.212168860492765,0.199852011077004,0.34296303443229
"CbMPDiCbraya","D001","D716",0.0497059267078872,0.166107274878153,0.198299754621763,0.114546438675715,0.471340605116482
"CbMPDiCbraya","D001","D717",0.0259071613336126,0.236598000668766,0.0984663684500473,0.204171464090564,0.434857005457011
"CbMPDiCbraya","D001","D718",0.0255334839240845,0.202066033129493,0.209996843083634,0.026499022287708,0.535904617575081
"CbMPDiCbraya","D001","D719",0.0181873020660534,0.152755314672836,0.192404112827175,0.00783121790437698,0.628822052529559
"CbMPDiCbraya","D001","D720",0.0253958678932288,0.102447229598328,0.50484229699049,0.100915173294982,0.266399432222971
"CbMPDiCbraya","D001","D721",0.026447961912466,0.254061206469476,0.099622475287967,0.00535588145045829,0.614512474879633
"CbMPDiCbraya","D001","D722",0.0265260858891097,0.145043389094976,0.212395487186048,0.161551498759772,0.454483539070094
"CbMPDiCbraya","D001","D723",0.0500376726495511,0.495552786019854,0.103043653727157,0.0755285335381099,0.275837354065328
"CbMPDiCbraya","D001","D724",0.0256473718628503,0.131497032244138,0.645979646555847,0.0833821912726981,0.113493758064466
"CbMPDiCbraya","D001","D725",0.0261789631963057,0.24109342675406,0.193842681317872,0.0156816002578339,0.523203328473928
"CbMPDiCbraya","D001","D726",0.0257264708005404,0.218097536163799,0.193979808582778,0.0150101171955097,0.547186067257374
"CbMPDiCbraya","D001","D727",0.025796513516053,0.183939852662563,0.202897505994555,0.0083480192557537,0.579018108571075
"CbMPDiCbraya","D001","D728",0.017659478208415,0.403801713358892,0.21869153673919,0.195714058601856,0.164133213091647
"CbMPDiCbraya","D001","D729",0.0252601417584075,0.124748157570022,0.561795942671125,0.0377783701556523,0.250417387844793
"CbMPDiCbraya","D001","D730",0.0253958678932288,0.159929878529461,0.556724798881425,0.072742266452977,0.185207188242908
"CbMPDiCbraya","D001","D731",0.0497059267078872,0.0953082998499844,0.479661566097984,0.0949084271527512,0.280415780191394
"CbMPDiCbraya","D001","D732",0.0252601417584075,0.126183818904298,0.401135132171283,0.0223822686569606,0.425038638509051
"CbMPDiCbraya","D001","D733",0.0252601417584075,0.136009465180677,0.599217643750246,0.0350349039043701,0.2044778454063
"CbMPDiCbraya","D001","D734",0.0257838827795175,0.156910913492167,0.195290772024075,0.0887865307765014,0.533227900927739
"CbMPDiCbraya","D001","D735",0.0183531895641683,0.263796784858149,0.13109704052542,0.145212448986536,0.441540536065727
"CbMPDiCbraya","D001","D736",0.0499294915821454,0.14819604315701,0.4435926494529,0.0552532651320277,0.303028550675917
"CbMPDiCbraya","D001","D737",0.0261785577339439,0.375786494799071,0.205381544940533,0.110840556365615,0.281812846160837
"CbMPDiCbraya","D001","D738",0.02564756815427,0.435594898733042,0.181676971799125,0.138610048930681,0.218470512382881
"CbMPDiCbraya","D001","D739",0.0497059267078872,0.144218026264942,0.454741770563771,0.010816171145465,0.340518105317935
"CbMPDiCbraya","D001","D740",0.0250942542602926,0.217316082196845,0.213832604187683,0.128150002160162,0.415607057195017
"CbMPDiCbraya","D002","D003",0,0.216883121496423,0.477948656312078,0.00459054412297572,0.300577678068524
"CbMPDiCbraya","D002","D004",0.000414655599771138,0.239730541856991,0.258645190187815,0.0159244237519452,0.485285188603478
"CbMPDiCbraya","D002","D005",0.00041436618157058,0.205255547394365,0.292526274922814,0.0105017276941798,0.49130208380707
"CbMPDiCbraya","D002","D006",0.000399369136062181,0.226815190939932,0.253133794593804,0.0160485740117261,0.503603071318476
"CbMPDiCbraya","D002","D007",0.000399469240161252,0.235549102527183,0.268647045291181,0.0141621790586829,0.481242203882792
"CbMPDiCbraya","D002","D008",0.000452281731366708,0.215225429870327,0.0371014489118408,0.0718393151668611,0.675381524319605
"CbMPDiCbraya","D002","D009",0.000437744055664496,0.30562901523799,0.0270813830276515,0.106049718810265,0.560802138868429
"CbMPDiCbraya","D002","D010",0.000452377502721226,0.243845494985736,0.0358398902476831,0.0958600318092334,0.624002205454626
"CbMPDiCbraya","D002","D011",0.000495663023996163,0.246868243302155,0.0417547327550925,0.133399941894954,0.577481419023802
"CbMPDiCbraya","D002","D012",0,0.239582463926151,0.475732150929745,0.00513109784552139,0.279554287298583
"CbMPDiCbraya","D002","D013",0,0.213494039292655,0.495186969946263,0.0118905552738317,0.27942843548725
"CbMPDiCbraya","D002","D014",0,0.202792042632598,0.476807432174521,0.0103765994038793,0.310023925789002
"CbMPDiCbraya","D002","D101",0.00603154852145163,0.537125877887368,0.439863308035308,0.000708221167713893,0.0162710443881582
"CbMPDiCbraya","D002","D102",0.00143567758755399,0.32876899163786,0.650217647714875,0.00130635972431721,0.0182713233353935
"CbMPDiCbraya","D002","D103",0.00262560994027892,0.308761748892282,0.671817942700149,0.000904646096339229,0.0158900523709504
"CbMPDiCbraya","D002","D104",0.00201233664853888,0.440734144307724,0.541862935693851,0.001466625109282,0.0139239582406041
"CbMPDiCbraya","D002","D105",0.00258848165843577,0.300670153958016,0.672479926508348,0.00109952985975065,0.0231619080154497
"CbMPDiCbraya","D002","D106",0.00164780878004195,0.442684735192875,0.538467897799483,0.000565554015616631,0.0166340042119842
"CbMPDiCbraya","D002","D107",0.00587560915568778,0.321000904908944,0.658276716474291,0.00060241813166213,0.0142443513294158
