OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU_3167	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Natranaerovirga
OTU_3168	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
OTU_3171	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__8
OTU_3175	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_3174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
OTU_3177	Bacteria	Chloroflexi	KD4-96	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3169	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
OTU_3173	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured
OTU_3172	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
OTU_3180	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	uncultured
OTU_3181	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter
OTU_3182	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
OTU_3176	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
OTU_3179	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__1
OTU_3178	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
OTU_3184	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_3187	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea
OTU_3185	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas
OTU_3191	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
OTU_3190	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae	uncultured	uncultured__microorganism
OTU_3183	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__bacterium
OTU_3188	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium
OTU_3192	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__7
OTU_3189	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
OTU_3186	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
OTU_3195	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	uncultured	uncultured__bacterium
OTU_3193	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus
OTU_3197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava
OTU_3194	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium
OTU_3196	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
OTU_3200	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
OTU_3198	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
OTU_3199	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
OTU_3201	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	uncultured__bacterium
OTU_3202	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes
OTU_3206	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum
OTU_3204	Bacteria	Firmicutes	uncultured	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3205	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum
OTU_3203	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured
OTU_3208	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3207	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
OTU_3209	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
OTU_3210	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_3212	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured
