"Group","HeS","HoS","DL","HD","DR"
"D1",0.00113036843963416,0.717171085924389,0.219393612460552,0.0147086137824651,0.0475963193929593
"D1",0.0007917366226613,0.709877596335703,0.211168344181902,0.00844242828098761,0.0697198945787467
"D1",0.000572940396620161,0.575199231638559,0.132907610680799,0.00529329107884878,0.286026926205173
"D1",0.00149821621457061,0.538386202213175,0.218120172963709,0.191081636066685,0.0509137725418599
"D1",0.000975393350591788,0.690184796502409,0.225878763893711,0.00696614761133508,0.0759948986419535
"D1",0.000613724444557288,0.501380187532312,0.229975154535796,0.00621074599124699,0.261820187496087
"D1",0.00115852477890841,0.354378778294733,0.277842033176282,0.00981172962664484,0.356808934123432
"D1",0.000680606945341074,0.522162214610471,0.193882073944228,0.0106979558501228,0.272577148649837
"D1",0,0.544000183052332,0.379780617350597,0.0134240888655866,0.0627951107314841
"D1",0.00106762104266304,0.428419858830536,0.310172369863921,0.00654501141118533,0.253795138851695
"D1",0.000161750447723751,0.488584311575119,0.12213432058496,0.0188083337137511,0.370311283678446
"D1",0.000576944519993082,0.597946603198435,0.125595158568953,0.010318138101425,0.265563155611194
"D1",0.00123652858912264,0.374527429945275,0.336575157131734,0.00843902821869724,0.279221856115171
"D1",0,0.402259800296989,0.205129045987804,0.00967133525823711,0.38293981845697
"D1",0.000416457823693696,0.729305667183289,0.199146406766029,0.00947869044723575,0.0616527777797521
"D1",0.00113704735132216,0.540987838659824,0.144302723948649,0.0052988849018271,0.308273505138378
"D1",0,0.531564298844062,0.208583569539965,0.0146008954486948,0.245251236167278
"D1",0.000779491340012778,0.731454407198219,0.18307619918494,0.00903951683619969,0.075650385440628
"D1",0.000233125396221803,0.497759671831271,0.220663556307061,0.00762053828532984,0.273723108180116
"D1",0,0.516600449976798,0.180186132229349,0.0103589902190716,0.292854427574781
"D1",0.00121605645052638,0.530467667611525,0.148849423417984,0.0053140158426875,0.314152836677277
"D1",4.32976263198694e-05,0.541746858264264,0.210121378391838,0.0109364825517967,0.237151983165782
"D1",0.000791184118092468,0.735581275843406,0.190782218102759,0.00696629926585188,0.0658790226698904
"D1",0,0.662393144736569,0.216822309239404,0.00606360247485405,0.114720943549173
"D1",0.000297918548094259,0.494136145643926,0.219579514791294,0.0118161796152049,0.274170241401481
"D1",0.00159645410865482,0.580890779875023,0.175452482450065,0.00631434352808529,0.235745940038172
"D1",0.000154008868309293,0.565161230238344,0.120570939625766,0.0118044190835994,0.302309402183981
"D1",0.000494490203756723,0.360766448918461,0.273200019323351,0.0065539889083558,0.358985052646076
"D1",0,0.370713446287615,0.364353577986013,0.00739265996422369,0.257540315762148
"D1",0.00139740405225357,0.548776206554984,0.132263889051872,0.0101165900677266,0.307445910273164
"D1",0.000885258812931231,0.380466534609828,0.352409962748225,0.00794017105362366,0.258298072775393
"D1",0.000885019338370348,0.40485257799725,0.218202412025843,0.0109441700373222,0.365115820601215
"D1",0,0.733704151044914,0.117043836584963,0.012894749944295,0.136357262425828
"D1",0.000843834836808406,0.539695193832897,0.179112817319053,0.0120235624341086,0.268324591577133
"D1",0,0.50201757145878,0.206625394184569,0.00821637819223452,0.283140656164417
"D3",0.000116110995114336,0.804398359318272,0.00577988821467029,0.00171228328375686,0.187993358188187
"D3",0.000260612729483987,0.84371363808798,0.00565294272867148,0.00342791274276634,0.146944893711098
"D3",0,0.461482248202466,0.00476591965482306,0.00195709357038453,0.531794738572326
"D3",0,0.404261191302285,0.0102148281030276,0.00244837891944887,0.583075601675239
"D3",0,0.852215500897379,0.00967317979942304,0.037925925570967,0.100185393732231
"D3",0,0.837206236219612,0.00611105709267911,0.00349004700831656,0.153192659679392
"D3",0,0.835570801389839,0.00905239259557186,0.00195200498706016,0.153424801027529
"D3",0,0.856407859442354,0.00713927686479843,0.00177084009863818,0.134682023594209
"D3",0.000176277735473742,0.839798590045245,0.00591085706774487,0.00169073474101033,0.152423540410526
"D3",0.00117275728267794,0.860318184194577,0.00462596927034632,0.00155533678313454,0.132327752469265
"D3",0,0.873001161393307,0.00589981328681252,0.0335400670397849,0.0875589582800953
"D3",0.00117275728267794,0.876182942464925,0.00477167875479097,0.032808750620467,0.0850638708771386
"D3",0.00117275728267794,0.846496478290668,0.00468157277650657,0.0032060495555837,0.144443142094564
"D3",0.00346035790814849,0.869112031065499,0.00587074441553585,0.00112609876369601,0.12043076784712
"D3",0.00346035790814849,0.851628801168434,0.00478275221658767,0.00317671864611373,0.136951370060716
"D3",0,0.856444452488233,0.00560229503350577,0.00876579044390804,0.129187462034353
"D3",0.000260612729483987,0.865335257148833,0.00543403985734486,0.00184951957524789,0.12712057068909
"D3",0,0.858141566072521,0.00591818505590939,0.00121470549639878,0.134725543375171
"D3",0,0.857174942290837,0.00574194111189677,0.00172940117418461,0.135353715423082
"D3",0.000143630630624136,0.828741066932257,0,0.00192725726079115,0.169188045176328
"D3",0.000298629097319854,0.818925578170472,0.00275732466286993,0.00105374524493223,0.176964722824406
"D3",8.80246517212801e-05,0.906511356329223,0,0.00161828120630306,0.0917823378127522
"D3",0.000252639006827917,0.835471151122241,0,0.00113456664190163,0.16314164322903
