id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1312	6	0.0589649700091702	0.11045211690234	0.115473248931818	0	M2	0.278276586346398	0.611111111111111	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1314	7	0.575402061289896	0.653320683309326	0.16520655751738	0	M3	1.99323179108025	0.408163265306122	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1337	3	0.093910768322713	-0.26790058655909	0.0440606959459099	0	M1	-0.0760285921269705	0	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1340	12	0.94089955391926	0.795878580477019	0.00929607432252802	0.227272727272727	M2	1.06371216594541	0.152777777777778	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1372	3	1.40355062688956	1.04178106013321	0.117663192353173	0	M1	0.351412392487591	0	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_138	48	1.26339188156303	1.28544376102705	1.49222286127031e-06	0.12854609929078	M2	3.83941880332518	0	D0	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis
OTU_1385	10	0.390355595611224	0.656614189799841	1.49064009223163e-07	0.222222222222222	M2	0.0381083752191085	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1408	3	0.0612267871266631	-0.160938899934533	0.000254206095246719	0	M3	0.0457495710997814	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter
OTU_141	61	0.182543614457099	0.447458910979409	0.176327260513657	0.458469945355191	M3	2.03079527214069	0	D0	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium
OTU_1419	2	0.0602973976781522	-0.232407838036799	0.00298279197753927	0	M5	0.10976425998969	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	uncultured
OTU_1433	11	1.58118081433423	0.958442620533354	0.129371768205482	0	M1	1.74865761892032	0.56198347107438	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_144	7	0.691347521467571	1.14137819490163	0.251787886110655	0	M6	1.0560337936221	0.612244897959184	D3	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium
OTU_1484	5	1.27388593337252	1.62474388152277	0.202949474699356	0	M3	-0.413802944301184	0.72	D5	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae__UCG-004
OTU_1488	4	0.171987075757436	0.0472492652254429	0.0781404866998176	0	M2	-0.366679398811285	0.625	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1539	15	1.07106823303746	1.68602789090854	1.92790678377184e-05	0.266666666666667	M1	-0.284123582828667	0.124444444444444	D0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
OTU_156	39	1.73936623204043	2.64741501820984	0.079826666182798	0.314439946018893	M3	0.848953444207988	0	D0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
OTU_1560	24	0.457595468191582	0.461431881836346	5.71134828518095e-05	0.177536231884058	M1	0.392607132635976	0	D0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arcticiflavibacter
OTU_161	3	0.834180231002862	0.303279435241077	0.0291176836455503	0	M5	0.0920574617898323	0.444444444444444	D3	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus
OTU_1650	3	1.53337967356784	1.48319319248112	2.87109242602167e-06	0	M8	0.929669680201368	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1685	11	0.144416333515225	-0.101036486387936	4.13293541440371e-07	0.163636363636364	M2	0.138142860169268	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1696	32	0.190710174796608	0.00811582466069655	0.100432953620699	0.425403225806452	M3	0.472912862593039	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__BD2-2	uncultured__bacterium
OTU_1698	30	0.0804011651533088	-0.0246860324345951	0.0996922407989044	0.439080459770115	M3	0.365472696417339	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
OTU_1745	11	2.22440748939343	1.65365591856269	0.186638788217049	0	M2	2.71652683997216	0.429752066115702	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1754	6	0.754860180791698	0.550308544592098	0.175695432844274	0	M3	0.47457899787625	0.666666666666667	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1774	15	3.66282128320421	2.62377761222683	0.236225863929769	0	M3	2.97550979440253	0.604444444444444	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1781	12	1.31432714061225	1.98588937529698	0.286080167446277	0	M2	1.70753115655393	0.611111111111111	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1784	14	3.00696532638364	2.77826616960827	0.32453838785118	0	M1	2.53477833637873	0.448979591836735	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1793	43	0.635854811696941	0.55007676581793	3.79453279844185e-07	0.203765227021041	M2	3.33924637857438	0	D0	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
OTU_1799	8	0.141183945312627	0.910575397504171	0.0163356525676585	0.178571428571429	M2	0.292906248593663	0.21875	D1	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium__enrichment__culture__clone__R4-81B
OTU_181	11	2.61785612208208	2.65711804158356	0.264154341244822	0.0181818181818182	M4	2.68895663871288	0.545454545454546	D5	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_1814	8	1.89098578307361	2.09747373304958	0.216711160586577	0	M1	0.890244727635231	0.65625	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1825	10	1.33986061586177	1.6466842049251	0.160884863885689	0	M5	1.81103933729466	0.54	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1842	8	0.405820486929421	0.421542117526182	0.133014681593607	0	M1	0.380142960634853	0.65625	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_190	4	0.342348761443754	0.200267296523849	0.0581565784289852	0	M3	0.47457899787625	0.375	D3	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
OTU_1938	9	0.229814958843905	0.186616810012527	6.90310895462765e-06	0.25	M2	-0.0619261097310512	0	D0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia
OTU_1948	13	0.141064200385711	-0.133388438462324	6.219917377025e-05	0.205128205128205	M1	-0.351796654375131	0	D0	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
