OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1967	64	0.114665557	0.101418224	0.186750241	0.460813492	M3	2.191955521	0	D0	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	A290	97.555
OTU_1989	2	2.038250834	-0.246098355	0.002668155	0	M4	-1.128576187	0.5	D0	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	D13	95.355
OTU_2014	55	0.656410882	0.808846925	0.161122774	0.4996633	M3	1.708474774	0	D0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	NA
OTU_2022	8	1.007684203	0.748331879	0.11904725	0	M2	2.108406543	0.5625	D3	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	D730003A	94.788
OTU_2029	4	0.356334468	-0.341349918	4.85E-08	0.333333333	M4	1.333771858	0	D0	Bacteria	Patescibacteria	Microgenomatia	Candidatus__Pacebacteria	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_2042	43	3.902907616	3.858948063	0.102575961	0.387596899	M3	1.063833777	0	D0	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium	NA	NA
OTU_2044	4	0.275585206	-0.113826071	0.073507067	0	M1	-0.165311631	0.375	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	93.515
OTU_2044	6	0.579212181	0.249782001	0.046156512	0	M2	0.278276586	0.666666667	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	93.515
OTU_2056	63	1.46074609	1.615008748	0.000298585	0.239631336	M1	3.031856923	0	D0	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103	NA	NA
OTU_2085	15	0.583435294	1.003685962	0.001241586	0.580952381	M1	-0.284123583	0.124444444	D0	Bacteria	Chloroflexota	Anaerolineae	SBR1031	uncultured__organism	uncultured__bacterium	NA	NA
OTU_2101	14	1.291833846	0.821867285	0.076675474	0.263736264	M1	0.103253374	0.520408163	D1	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA	NA
OTU_2102	14	0.467193482	0.914993477	0.00609047	0.120879121	M2	1.256413645	0.244897959	D1	Bacteria	SAR324__clade(Marine__group__B)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_2105	12	6.212358864	5.114347484	0.007309085	0.454545455	M3	-0.708928965	0.277777778	D0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	NA	NA
OTU_2107	17	0.531467829	0.511908666	0.133862079	0.294117647	M1	0.590019278	0.290657439	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome	NA	NA
OTU_2110	52	0.319455327	0.704297749	9.93E-05	0.181749623	M1	2.287453136	0	D0	Bacteria	Acidobacteriota	Subgroup__21	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_2111	6	0.4859165	0.103626115	0.021020735	0.2	M2	-0.477899669	0.5	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	GoM-GC232-4463-Bac1	uncultured__bacterium	D304019A	87.379
OTU_2137	49	3.347097272	2.685344046	0.280775429	0.12244898	M1	3.802674245	0.079133694	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Guggenheimella	Tindallia__sp.__Mic8c12	NA	NA
OTU_214	9	2.032960058	2.334898591	0.183202569	0	M2	2.62995564	0.37037037	D5	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	NA
OTU_2150	4	0.106364135	-0.057763742	3.23E-05	0	M4	1.024631039	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
