OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1650	3	1.533379674	1.483193192	2.87E-06	0	M8	0.92966968	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	X10	87.588
OTU_1685	11	0.144416334	-0.101036486	4.13E-07	0.163636364	M2	0.13814286	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D717016A	87.678
OTU_1696	32	0.190710175	0.008115825	0.100432954	0.425403226	M3	0.472912863	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__BD2-2	uncultured__bacterium	D722001	93.868
OTU_1698	30	0.080401165	-0.024686032	0.099692241	0.43908046	M3	0.365472696	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured	A137	95.755
OTU_1745	11	2.224407489	1.653655919	0.186638788	0	M2	2.71652684	0.429752066	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D726006A	91.08
OTU_1754	6	0.754860181	0.550308545	0.175695433	0	M3	0.474578998	0.666666667	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D105048	99.764
OTU_1774	15	3.662821283	2.623777612	0.236225864	0	M3	2.975509794	0.604444444	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	93.176
OTU_1781	12	1.314327141	1.985889375	0.286080167	0	M2	1.707531157	0.611111111	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D724004B	96.235
OTU_1784	14	3.006965326	2.77826617	0.324538388	0	M1	2.534778336	0.448979592	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	93.396
OTU_1793	43	0.635854812	0.550076766	3.79E-07	0.203765227	M2	3.339246379	0	D0	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	D101115	100
