SampleID	Group	Measure	Value
D003	D0	se.ACE	22.14
D004	D0	se.ACE	22.297
D005	D0	se.ACE	22.603
D006	D0	se.ACE	23.549
D007	D0	se.ACE	22.722
D008	D0	se.ACE	22.424
D009	D0	se.ACE	22.393
D010	D0	se.ACE	22.53
D011	D0	se.ACE	22.018
D012	D0	se.ACE	22.935
D013	D0	se.ACE	22.259
D014	D0	se.ACE	22.146
D101	D1	se.ACE	25.685
D102	D1	se.ACE	26.785
D103	D1	se.ACE	25.565
D104	D1	se.ACE	28.855
D105	D1	se.ACE	30.258
D106	D1	se.ACE	29.138
D107	D1	se.ACE	26.038
D108	D1	se.ACE	26.547
D109	D1	se.ACE	25.908
D110	D1	se.ACE	28.646
D111	D1	se.ACE	27.2
D112	D1	se.ACE	28.425
D113	D1	se.ACE	27.998
D114	D1	se.ACE	28.276
D301	D3	se.ACE	18.816
D302	D3	se.ACE	16.58
D303	D3	se.ACE	13.075
D304	D3	se.ACE	16.26
D305	D3	se.ACE	14.701
D306	D3	se.ACE	17.599
D307	D3	se.ACE	14.655
D308	D3	se.ACE	17.1
D309	D3	se.ACE	13.812
D310	D3	se.ACE	16.077
D311	D3	se.ACE	14.054
D312	D3	se.ACE	15.024
D313	D3	se.ACE	14.263
D314	D3	se.ACE	15.328
D315	D3	se.ACE	12.844
D316	D3	se.ACE	13.877
D317	D3	se.ACE	16.678
D318	D3	se.ACE	13.778
D319	D3	se.ACE	15.474
D320	D3	se.ACE	14.819
D501	D5	se.ACE	9.925
D502	D5	se.ACE	11.032
D503	D5	se.ACE	10.619
D504	D5	se.ACE	10.733
D505	D5	se.ACE	11.237
D506	D5	se.ACE	12.724
D507	D5	se.ACE	11.246
D508	D5	se.ACE	12.4
D509	D5	se.ACE	13.832
D510	D5	se.ACE	9.921
D511	D5	se.ACE	12.088
D512	D5	se.ACE	7.424
D513	D5	se.ACE	12.272
D514	D5	se.ACE	11.556
D515	D5	se.ACE	14.547
D516	D5	se.ACE	11.851
D517	D5	se.ACE	10.893
D518	D5	se.ACE	11.348
D519	D5	se.ACE	13.85
D520	D5	se.ACE	11.211
D601	D6	se.ACE	10.607
D602	D6	se.ACE	10.371
D603	D6	se.ACE	10.484
D604	D6	se.ACE	10.46
D605	D6	se.ACE	10.353
D606	D6	se.ACE	9.254
D607	D6	se.ACE	8.998
D608	D6	se.ACE	10.765
D609	D6	se.ACE	10.63
D610	D6	se.ACE	8.577
D611	D6	se.ACE	9.715
