Group	OTU	fV	fM	fN	rChisqX	rChisqP	rKsD	rKsP
D7	OTU_3279	0.9	0.15	1	234	1.20244330156291e-29	0.537816469418554	1.78474124368222e-10
D7	OTU_3280	1.25576923076923	0.225	3	217.666666666667	1.12583351306116e-26	0.504565991225085	2.85612511419231e-09
D7	OTU_3282	6.90705128205128	1.625	19	165.769230769231	1.44679124324444e-17	0.293986525764044	0.00198706022395512
D7	OTU_3284	1.6	0.2	1	312	2.71899816195678e-44	0.537816469418554	1.78474124368222e-10
D7	OTU_3285	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_3287	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3296	31.3583333333333	3.975	24	307.666666666667	1.83577296964649e-43	0.248218966264625	0.0144672816797387
D7	OTU_3299	87.0025641025641	3.65	9	929.616438356164	1.13673273849323e-169	0.436835285684482	4.68908508688415e-07
D7	OTU_3301	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3308	0.643589743589744	0.15	2	167.333333333333	7.8541067729362e-18	0.524160416146027	5.69430613772681e-10
D7	OTU_3310	1624.92243589744	16.525	30	3834.91527987897	0	0.340923300448293	0.000183160349405576
D7	OTU_3312	184.460897435897	2.275	6	3162.18681318681	0	0.512396466762702	1.51044132756795e-09
D7	OTU_3335	625.720512820513	23.15	33	1054.12958963283	1.06115296703129e-195	0.215883907036169	0.048058531719778
D7	OTU_3339	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3342	244.486538461538	5.975	15	1595.81171548117	5.33713686716635e-310	0.400337186917642	5.40361773504472e-06
D7	OTU_3344	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3346	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3353	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_3354	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3355	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_3364	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3370	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3374	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3377	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3404	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3408	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_3418	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3447	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3448	0.233333333333333	0.15	4	60.6666666666667	0.0146817969188729	0.521920835792535	6.86811274519528e-10
D7	OTU_3450	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_3453	0.233333333333333	0.15	4	60.6666666666667	0.0146817969188729	0.521920835792535	6.86811274519528e-10
D7	OTU_3456	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_3459	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3461	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_3462	236.891666666667	5.675	12	1627.97797356828	7.99149897577537e-317	0.356170030230443	7.82642173097203e-05
D7	OTU_3463	0.332692307692308	0.225	6	57.6666666666667	0.0274036870588712	0.501763779744995	3.57892249169822e-09
D7	OTU_3464	230153.430128205	370.575	36	24221.7736625514	0	0.22099522606417	0.0401966293582765
D7	OTU_3465	0.728205128205128	0.3	6	94.6666666666667	1.57665596200907e-06	0.487414327640747	1.11405864533509e-08
D7	OTU_3470	0.0923076923076923	0.1	4	36	0.607472313434934	0.528975175509086	3.79551168272485e-10
D7	OTU_3488	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_3490	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3494	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_3495	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_3496	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_350	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_353	0.420512820512821	0.2	4	82	6.83147313726254e-05	0.521118034376974	7.34395544377264e-10
D7	OTU_360	11793.1275641026	22.275	5	20647.9001122334	0	0.477659424150872	2.36587015534084e-08
D7	OTU_361	0.199358974358974	0.175	6	44.4285714285714	0.253665586972742	0.502448914919661	3.38725569815068e-09
